 ,en,fr,de
staircase_window_kiara1,"Okay, so we need to switch the pieces. I think that hand action that we used before to move things should also work for switching two things.","Bon, il faut donc échanger les pièces du puzzle. Je pense que l'action de la main que nous utilisions auparavant pour déplacer les choses devrait également fonctionner pour permuter deux choses.","Okay, wir müssen also die Teile tauschen. Ich denke, dass die Hand-Aktion, die wir zuvor zum Verschieben von Dingen verwendet haben, auch zum Tauschen von zwei Dingen funktionieren sollte."
staircase_window_kiara2,Looks like the blue part goes in the middle!,On dirait que le morceau bleu va au milieu!,Der blaue Teil scheint in die Mitte zu passen!
staircase_window_kiara3,Have you noticed that you can switch any two pieces?,As-tu remarqué que tu peux remplacer une pièce par n’importe quelle autre pièce?,"Hast du bemerkt, dass du beliebig zwei Teile miteinander wechseln kannst?"
staircase_window_solved,Thank you! This looks much better again. Isn’t this window beautiful? Here is another flower for you.,Merci beaucoup! C'est bien mieux comme ça. Cette fenêtre n'est-elle pas magnifique ?  Voici une autre fleur pour vous.,Dankeschön! Das sieht schon gleich viel besser aus. Ist das Fenster nicht schön? Hier ist noch eine Blume für dich.
staircase_window_unsolved,This doesn't look right.,Cela n'a pas l'air correct.,Das sieht so nicht ganz richtig aus.
staircase_louis1,We passed this area earlier. Remember? Isn’t this a nice staircase? And isn’t that some nice stained-glass artwork? I can tell you more if you want or you could just go ahead and keep freeing the house from the plants.,Nous avons passé cette zone plus tôt. Vous vous en souvenez ? N'est-ce pas un bel escalier ? Et n'est-ce pas un beau vitrail ? Je peux t'en dire plus si tu veux ou alors tu peux continuer à libérer la maison des plantes.,"Wir waren hier am Anfang schon. Erinnerst du dich? Ist das nicht eine schöne Treppe? Und ist das nicht ein schönes Buntglas-Kunstwerk? Ich kann dir mehr erzählen, wenn du willst, oder du kannst das Haus weiter von den Pflanzen befreien."
staircase_louis2,That stained-glass window was made by my friend Jacques Gruber. He integrated the metal frame as the branches of the honesty flower. Isn’t that genious?,Ce vitrail a été réalisé par mon ami Jacques Gruber. Il a intégré le cadre métallique en forme de branches semblables aux monnaies du pape. N'est-ce pas génial?,Dieses Buntglasfenster wurde von meinem Freund Jacques Gruber gemacht. Er hat den Metallrahmen als die Zweige der Ehrlichkeitsblume integriert. Ist das nicht genial?
staircase_louis3,I think it is time to think about what to do to free the stairs from those plants. Have you asked Kiara yet?,Je pense qu'il est temps de réfléchir à ce qu'il faut faire pour libérer les escaliers de ces plantes. As-tu déjà demandé à Kiara ?,"Ich denke, es ist an der Zeit, sich Gedanken zu machen, was man tun kann, um die Treppe von diesen Pflanzen zu befreien. Hast du Kiara schon gefragt?"
staircase_louis4,There is more to see upstairs. I am not sure about the plant situation on the first floor. I recommend that you have a look.,Il y a plus à voir à l'étage. Je ne suis pas sûr de la situation avec les plantes au premier étage. Je te recommande d'y jeter un coup d'œil.,"Im Obergeschoss gibt es mehr zu sehen. Ich bin nicht sicher wie die Pflanzensituation in der ersten Etage ist. Ich empfehle, dass du da einen Blick darauf wirfst."
staircase_kiara_tip,Let’s look closer at that window. The pieces seem to be jumbled.,Regardons de plus près cette fenêtre. Elle a l'air bizarre.,Schauen wir uns das Fenster genauer an. Die Teile scheinen vertauscht zu sein.
staircase_kiara_tip2,We should go back to the puzzle. It is still jumbled. Did you remember to confirm your solution?,"Nous devrions revenir au puzzle, car la fenêtre est toujours bizarre. As-tu bien pensé à confirmer ta solution?",Wir sollten zurück zum Puzzle gehen. Es ist immer noch ungeordnet. Hast du daran gedacht deine Lösung zu bestätigen?
staircase_kiara_upstairs,"Come on, Arthur, let's see what's upstairs now!","Viens, Arthur, allons voir ce qu'il y a là-haut!","Lass uns schauen was oben ist, Arthur!"
staircase_kiara_upstairs2,What are we waiting for? Let’s see what is upstairs.,Qu'attendons-nous ? Voyons ce qu'il y a là-haut.,"Worauf warten wir noch? Schauen wir mal, was oben ist."
frontbedroom_artur_plants,"Ah, more plants. Let's see what I can use here.",Encore plus de plantes! Voyons ce que je peux utiliser ici.,"Oh, noch mehr Pflanzen! Mal sehen, was ich hier verwenden kann."
frontbedroom_kiara_wrong_spot,This flower doesn't fit here. Let us try a different spot!,Cette fleur ne va pas ici. Essaye un autre endroit!,Diese Blume passt hier nicht. Versuche sie an einer anderen Stelle einzusetzen!
frontbedroom_kiara_tip,These gaps look like the flowers we got earlier!,Ces vides ressemblent aux fleurs que nous avons ramassées tout à l'heure!,"Diese Lücken sehen aus wie die Blumen, die wir vorher bekommen haben!"
frontbedroom_kiara_tip2,Let us use those flowers from the inventory and put them in the right spots.,Utilisons ces fleurs de l'inventaire et mettons-les aux bons endroits.,Lass uns die Blumen aus dem Inventar verwenden und sie an die richtigen Stellen setzen.
frontbedroom_kiara_tip3,What are we waiting for? Let us go into the bedroom.,Qu'attendons-nous ? Allons dans la chambre.,Worauf warten wir noch? Lass uns ins Schlafzimmer gehen.
bedroom_jane_givealbum,You freed our house from those plants. Thank you very much! There is a photo album on the bed as a thank you and souvenir. Take it!,Tu as libéré notre maison des plantes. Merci beaucoup! Merci beaucoup ! Prenez l'album photo sur le lit comme cadeau!,Ihr habt unser Haus von diesen Pflanzen befreit. Herzlichen Dank! Auf dem Bett liegt ein Fotoalbum als Dankeschön und Andenken. Nehmt es!
bedroom_jane_story,How do you like the bedroom? Have you noticed the mint color on the wall and of the curtains? I picked that.,Comment trouvez-vous la chambre à coucher? Avez-vous remarqué la couleur menthe du mur et des rideaux ? C'est moi qui l'ai choisie.,Wie gefällt dir das Schlafzimmer? Ist dir die Minzfarbe an der Wand und an den Vorhängen aufgefallen? Das habe ich ausgesucht.
bedroom_jane_story2,"Do you see that painting on the wall? That is a portrait of Louis’ sister, Camille-Rose Majorelle, painted by the artist Émile Friant. It turned out very lovely.","Tu vois ce tableau sur le mur? C'est un portrait de la sœur de Louis, Camille-Rose Majorelle, peint par l'artiste Émile Friant. Il est très beau.","Siehst du das Gemälde an der Wand? Das ist ein Porträt von Louis' Schwester, Camille-Rose Majorelle, gemalt von dem Künstler Émile Friant. Es ist sehr schön geworden."
bedroom_jane_nostories,I am out of stories to tell you right now. Don’t you want to have a look at the album?,Je n'ai plus d'histoires à vous raconter pour le moment. Tu ne veux pas jeter un coup d'œil dans l'album ?,"Mir fallen im Moment keine Geschichten mehr ein, die ich dir erzählen könnte. Willst du nicht lieber einen Blick auf das Album werfen?"
bedroom_jane_story4,"I recall that we wrote down the code somewhere, but I can’t remember where. Keep looking around the room.","Je me souviens que nous avons écrit le code quelque part, mais je ne sais plus où. Continue à chercher dans la pièce.","Ich erinnere mich, dass wir den Code irgendwo aufgeschrieben haben, aber ich weiß leider nicht mehr, wo. Sieh dich weiter im Raum um."
bedroom_kiara_tip1,"Let’s take that photo album on the bed and have a look at it. I am curious, aren’t you?","Prenons cet album photo sur le lit et regardons-la. Je suis curieuse, pas toi?","Nehmen wir das Fotoalbum auf dem Bett und schauen es uns an. Ich bin neugierig, du nicht auch?"
bedroom_kiara_tip2,Okay... so the password is a 4-digit number. Let’s look around the room for something that fits!,Ok... donc c'est un nombre à 4 chiffres. Regardons autour de nous pour trouver quelque chose qui corresponde !,Hmm... Wir brauchen eine vierstellige Zahlenfolge. Sehen wir uns im Zimmer nach etwas Passendem um!
bedroom_kiara_tip3,Let’s keep looking for a four digit number somewhere.,Continuons à chercher un nombre à quatre chiffres quelque part.,Lass uns weiter irgendwo nach einer vierstelligen Zahl suchen.
bedroom_kiara_zoom,"This is a nice piece of furniture, but I can't see anything. Let's keep looking.","C'est un beau meuble, mais je ne vois pas de code. Continuons à regarder.","Das ist ein schönes Möbelstück, aber ich kann da nichts für uns relevantes sehen. Lass uns weiter suchen."
bedroom_kiara_zoom2,"Hah, can you also see that four digit number? We should try that.","Hah, peux-tu aussi voir ce numéro à quatre chiffres ? Nous devrions essayer.","Hah, siehst du auch diese vierstellige Zahl? Die sollten wir mal versuchen einzugeben."
bedroom_jane_locked,Oh no! It’s locked and I don't remember the code to unlock it.,Oh non ! Il est verrouillé et je ne me souviens plus du code pour l'ouvrir.,Oh nein! Es ist gesperrt und ich weiß den Entsperrcode nicht mehr.
bedroom_artur_dontworry,"Don't worry, madame, we'll find it.","Ne vous inquiétez pas, madame, nous nous débrouillerons.","Keine Sorge, Madame, das kriegen wir schon hin."
bedroom_album_kiara_tip1,Let’s look at the lock on the side!,Regardons la serrure sur le côté,Schauen wir uns das Schloss an der Seite an.
bedroom_album_kiara_tip2,Okay... so the password is a 4-digit number. Let’s look around the room for something that fits!,Ok... donc c'est un nombre à 4 chiffres. Regardons autour de nous pour trouver quelque chose qui corresponde !,Hmm... Wir brauchen eine vierstellige Zahlenfolge. Sehen wir uns im Zimmer nach etwas Passendem um!
bedroom_album_kiara_tip3,Did you find a four digit number in the room? Let us try and enter it and then confirm.,As-tu trouvé un numéro à quatre chiffres dans la chambre?Essayons de l'entrer dans le verrou numérique et confirmons ensuite.,"Hast du eine vierstellige Zahl im Raum gefunden? Lasst uns versuchen, sie einzugeben und dann zu bestätigen."
bedroom_album_kiara_tip4,I think we should keep looking for a number. That portrait on the wall looks interesting to me.,Je pense que nous devrions continuer à chercher un numéro. Ce portrait peint sur le mur m'a semblé intéressant.,"Ich denke, wir sollten weiter nach einer Zahl suchen. Das Porträt an der Wand sieht da für mich sehr vielversprechend aus."
bedroom_album_not_correct,This is not correct. Have you looked around in the room yet?,Ce n'est pas correct. As-tu déjà regardé dans la pièce ?,"Das stimmt so nicht, hast du dich im Raum umgeschaut?"
bedroom_nothing_here,Seems like nothing to see here.,Il n'y a rien à voir ici.,Hier ist nichts zu sehen.
bedroom_kiara_tip,Four digit number... Sounds like it could be a date?,Un nombre à quatre chiffres... Peut-être une date?,Eine vierstellige Zahl... Könnte eventuell eine Jahreszahl sein?
bedroom_album_solved_jane,"Ah, the lock is opening. That is the year when we moved in. I should have remembered. Well, now you can have a look at the album. Thank you again for helping us. You’re welcome to visit us any time you want. ","Ah, la serrure s'ouvre. C'est l'année où nous avons emménagé. J'aurais dû m'en souvenir. Eh bien, maintenant vous pouvez regarder l'album. Merci encore de nous avoir aidés. Vous pouvez nous rendre visite quand vous voulez. ","Ah, das Schloss öffnet sich. In dem Jahr sind wir hier eingezogen. Daran hätte ich mich erinnern sollen. Jetzt kannst du einen Blick in das Album werfen. Nochmals vielen Dank, dass du uns geholfen hast. Du kannst uns jederzeit besuchen, wenn du willst. "
